0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,0.015349023300465748,,,,0.015349023300465637,,,,,0.015349023300465637,,0.015349023300465748,0.015349023300465748,,,,,0.01534902330046569,,,,,,,,,,,,,,,,,0.015349023300465748,0.015349023300465748,,,,,,,,0.015349023300465637,,,,,0.015349023300465637,,,,0.015349023300465748,,,0.015349023300465748,,,0.015349023300465637,,,0.015349023300465748,,,,,0.015349023300465748,0.015349023300465748,0.015349023300465748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.01534902330046584,,,,,,,,,,,0.015349023300465895,0.015349023300465952,,,,,,0.015349023300465895,,,,,,0.015349023300465952,,,,,,,,,,0.01534902330046584,,,0.015349023300465952,,,0.015349023300465952,,,,0.01534902330046584,,0.030698046600931905,,,,,,,,,0.015349023300465952,,,0.01534902330046584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,,0.015349023300465895,,,,,,,,,,,,,,,0.015349023300465952,,,,,,,,,,,,,,,0.015349023300465952,0.01534902330046584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030698046600931905,,,,,,,,0.015349023300465952,,,0.015349023300465952,,0.015349023300465952,,,,,,,,,,,0.015349023300465952,,,0.015349023300465952,0.030698046600931905,,,,,,0.01534902330046584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,0.015349023300465952,0.015349023300465895,,,,0.015349023300465952,,0.015349023300465952,,,0.015349023300465895,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,,,,,,,,,,,,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,0.015349023300465895,0.015349023300465952,0.03069804660093179,,,,,,,,,,,,0.015349023300465952,,0.030698046600931905,,,0.015349023300465952,,0.015349023300465952,,,,,,,,,,,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.015349023300465748,,,,,,0.015349023300465748,,,,,,,,,0.01534902330046569,,,,0.015349023300465748,,,0.01534902330046569,,,,,,,,,,,,,0.015349023300465748,,,,,0.015349023300465748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.01534902330046584,,,0.015349023300465952,,,,,,,,,,,,0.04604706990139786,0.015349023300465895,,,0.015349023300465952,,,,,,,,,,0.03069804660093168,,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.015349023300465952,,,,,,,,0.01534902330046584,,0.015349023300465952,,,,,0.030698046600931905,0.015349023300465895,,,0.015349023300465895,,0.015349023300465895,,0.04604706990139786,0.015349023300465895,,,0.015349023300465952,,,,,,,,,,,,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.015349023300465952,,,,,,,,,0.015349023300465895,0.015349023300465952,,,,,,,0.015349023300465952,,0.015349023300465895,0.015349023300465952,,,,,,,,,,,,,,,,,0.01534902330046584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.01534902330046584,,,,,,,,,,,,0.030698046600931905,,,,,0.015349023300465952,,,,0.015349023300465895,,,,0.015349023300465895,,,,,,,,,0.01534902330046584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.01534902330046569,,0.015349023300465748,,0.015349023300465748,,0.015349023300465748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.015349023300466055,,,,0.015349023300466,0.015349023300466055,,,,,,,,0.015349023300466055,,0.015349023300466055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.015349023300465952,,,,,0.015349023300465952,,,,,,,,,,,,,0.03069804660093179,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465895,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.015349023300465952,,,,,,0.015349023300465895,0.015349023300465952,,,,,,0.030698046600931905,,,,,0.015349023300465895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300466103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
